                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58026,                0.30222,                0.84114,                0.89581,                0.97068,                0.97826,                0.67988,                0.62682,                0.29861,                0.85185,              0.0011885,              0.0011885,              0.0011885
                     37,                0.57358,                0.30503,                0.83962,                0.98101,                0.90881,                0.97596,                0.69057,                0.61887,                0.30046,                0.84978,              0.0011814,              0.0011814,              0.0011814
                     38,                0.56799,                0.30116,                0.83968,                 0.9481,                0.90332,                0.95372,                0.68372,                0.56268,                0.27635,                0.83851,              0.0011744,              0.0011744,              0.0011744
                     39,                0.55877,                0.29834,                0.83874,                0.99804,                0.82816,                0.92567,                 0.6659,                0.57407,                0.28467,                 0.8403,              0.0011673,              0.0011673,              0.0011673
                     40,                0.57842,                0.30244,                0.83964,                0.96047,                0.91243,                0.98056,                0.67988,                0.60757,                0.29186,                 0.8456,              0.0011602,              0.0011602,              0.0011602
                     41,                0.58386,                  0.304,                0.83977,                 0.9854,                0.91806,                0.96903,                0.67646,                0.59614,                0.28703,                0.84688,              0.0011531,              0.0011531,              0.0011531
                     42,                0.57352,                0.30142,                0.83785,                0.93923,                0.96784,                0.98222,                0.68113,                0.63068,                0.29031,                0.85755,              0.0011461,              0.0011461,              0.0011461
                     43,                 0.5487,                0.29153,                0.83456,                0.95583,                0.93326,                0.98275,                0.70932,                0.56072,                0.28008,                0.83433,               0.001139,               0.001139,               0.001139
                     44,                0.54444,                0.28823,                0.83408,                0.99182,                0.92124,                0.98636,                0.69595,                0.55787,                0.28103,                0.83712,              0.0011319,              0.0011319,              0.0011319
                     45,                0.54449,                0.28789,                0.83653,                0.96962,                 0.9562,                0.98764,                0.69559,                0.57436,                0.27667,                0.84037,              0.0011248,              0.0011248,              0.0011248
                     46,                0.54205,                0.28665,                0.83276,                0.97746,                0.94558,                0.98684,                0.70577,                0.58284,                0.28082,                0.83944,              0.0011178,              0.0011178,              0.0011178
                     47,                0.57912,                0.29879,                0.83817,                0.87582,                0.97763,                0.94825,                0.67462,                0.62846,                 0.3021,                0.85348,              0.0011107,              0.0011107,              0.0011107
                     48,                0.55695,                0.29752,                0.83418,                0.97421,                0.91096,                0.94366,                0.69478,                0.56354,                0.28599,                0.83748,              0.0011036,              0.0011036,              0.0011036
                     49,                0.51696,                 0.2817,                0.83126,                 0.9471,                0.97756,                0.98687,                    0.7,                  0.553,                0.27075,                0.83644,              0.0010965,              0.0010965,              0.0010965
                     50,                0.52464,                0.27901,                0.83169,                0.94442,                0.90744,                0.96932,                 0.6957,                0.57533,                0.27246,                0.84012,              0.0010895,              0.0010895,              0.0010895
                     51,                0.54362,                0.28815,                0.83365,                0.92651,                0.92934,                0.97071,                0.69276,                0.55658,                0.27078,                0.83572,              0.0010824,              0.0010824,              0.0010824
                     52,                0.54221,                0.28546,                0.83376,                0.99233,                0.91222,                0.96125,                0.69055,                0.57576,                0.27803,                0.84074,              0.0010753,              0.0010753,              0.0010753
                     53,                0.53031,                0.28067,                0.83218,                0.98065,                0.89098,                0.96904,                0.69129,                0.52058,                0.26226,                0.83161,              0.0010682,              0.0010682,              0.0010682
                     54,                0.50368,                0.27161,                 0.8259,                  0.978,                0.96402,                0.98958,                0.68499,                0.60433,                0.27892,                0.85348,              0.0010612,              0.0010612,              0.0010612
                     55,                0.50344,                0.27098,                0.82709,                0.99745,                0.93438,                0.98299,                0.70276,                0.56568,                0.26634,                0.83805,              0.0010541,              0.0010541,              0.0010541
                     56,                0.51602,                0.27644,                0.82769,                 0.9867,                0.93457,                0.97851,                 0.7124,                0.53756,                0.26954,                0.83099,               0.001047,               0.001047,               0.001047
                     57,                0.50863,                0.27453,                0.82806,                0.98752,                0.92959,                0.98235,                0.70517,                0.53307,                  0.259,                0.83312,                0.00104,                0.00104,                0.00104
                     58,                0.51036,                0.27308,                0.82851,                0.94514,                0.97894,                0.99151,                0.73517,                0.55336,                0.27345,                0.83793,              0.0010329,              0.0010329,              0.0010329
                     59,                 0.4986,                0.26998,                0.82693,                0.97142,                0.99574,                0.99381,                 0.7055,                0.58374,                0.27021,                0.84223,              0.0010258,              0.0010258,              0.0010258
                     60,                 0.5106,                 0.2725,                0.82931,                 0.9588,                0.90922,                0.97239,                0.70215,                0.60972,                0.27862,                0.84681,              0.0010187,              0.0010187,              0.0010187
                     61,                0.52747,                0.27697,                0.82732,                0.99271,                0.93436,                0.97826,                0.70028,                0.56809,                0.27642,                0.84559,              0.0010117,              0.0010117,              0.0010117
                     62,                0.49287,                0.26844,                0.82837,                0.97384,                 0.9777,                0.97739,                0.70052,                0.53587,                0.26406,                0.83454,              0.0010046,              0.0010046,              0.0010046
                     63,                0.48998,                0.26672,                0.82223,                0.91222,                0.99255,                0.98326,                0.72674,                0.56884,                0.26964,                0.84604,             0.00099751,             0.00099751,             0.00099751
                     64,                0.51145,                0.27105,                0.82843,                  0.943,                0.96923,                0.98181,                0.71187,                0.55828,                0.25635,                0.83742,             0.00099044,             0.00099044,             0.00099044
                     65,                0.48869,                0.26386,                0.82533,                0.97423,                0.96971,                 0.9812,                0.72016,                0.50691,                0.24935,                0.82725,             0.00098337,             0.00098337,             0.00098337
                     66,                0.47511,                0.26064,                0.82359,                0.97474,                0.99347,                0.99263,                0.69395,                 0.5809,                0.25963,                0.84348,             0.00097629,             0.00097629,             0.00097629
                     67,                0.48717,                0.26524,                0.82448,                0.98161,                0.96555,                0.99184,                0.71187,                0.58153,                0.26715,                0.84207,             0.00096922,             0.00096922,             0.00096922
                     68,                0.47955,                0.26136,                0.82356,                0.98725,                0.91363,                 0.9753,                0.70472,                0.63293,                 0.2809,                0.85684,             0.00096215,             0.00096215,             0.00096215
                     69,                 0.4764,                0.26213,                0.82395,                0.95415,                0.93108,                0.97037,                0.72151,                0.64462,                0.28309,                0.86759,             0.00095507,             0.00095507,             0.00095507
                     70,                0.48209,                0.26131,                0.82347,                0.96467,                0.95657,                0.98764,                0.72364,                0.63224,                0.27345,                0.85871,               0.000948,               0.000948,               0.000948
                     71,                 0.4856,                0.26233,                0.82355,                0.99327,                0.94931,                0.99151,                0.71847,                0.58542,                0.26778,                0.84844,             0.00094093,             0.00094093,             0.00094093
                     72,                0.48823,                0.26305,                0.82339,                0.97556,                0.94115,                0.98127,                0.71633,                0.54173,                0.25519,                0.83343,             0.00093385,             0.00093385,             0.00093385
