               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046539,             0.33271,           0.0019782,             0.99711,             0.33283,             0.33588,             0.27456,            0.031598,             0.24511,           0.0026133,           0.0082675,           0.0082675,           0.0082675
                  37,            0.043527,             0.31773,           0.0018824,             0.99658,             0.33322,             0.33232,             0.27196,              0.0324,              0.2348,           0.0025689,            0.008218,            0.008218,            0.008218
                  38,            0.043596,             0.32106,           0.0019198,             0.99673,             0.33296,             0.33224,             0.27478,            0.030939,             0.22814,           0.0025339,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044732,             0.32223,           0.0018567,             0.99717,             0.33289,             0.33254,              0.2524,             0.03199,             0.25082,           0.0025314,            0.008119,            0.008119,            0.008119
                  40,            0.044901,              0.3317,           0.0019701,              0.9969,             0.33277,             0.33231,             0.27142,            0.030902,             0.23016,           0.0025573,           0.0080695,           0.0080695,           0.0080695
                  41,             0.04331,             0.31529,           0.0018138,             0.99706,             0.33284,             0.33223,             0.27359,             0.03185,             0.23415,           0.0025048,             0.00802,             0.00802,             0.00802
                  42,            0.042803,             0.31693,           0.0017579,             0.99693,             0.33311,             0.33249,             0.27682,            0.031103,              0.2325,           0.0024756,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044012,             0.31513,           0.0018661,             0.99685,             0.33303,             0.33246,             0.27344,             0.03162,             0.22895,           0.0025171,            0.007921,            0.007921,            0.007921
                  44,             0.04349,             0.31503,           0.0018565,             0.99734,             0.33306,             0.33322,             0.27402,            0.030612,             0.22971,           0.0024529,           0.0078715,           0.0078715,           0.0078715
                  45,            0.042712,             0.30699,           0.0018507,             0.99704,             0.33311,             0.33241,             0.25742,            0.033427,             0.24611,           0.0024466,            0.007822,            0.007822,            0.007822
                  46,             0.04412,             0.32202,           0.0018493,             0.99679,             0.33305,             0.33218,             0.27587,            0.031653,             0.22765,           0.0024839,           0.0077725,           0.0077725,           0.0077725
                  47,            0.043549,             0.32167,           0.0018179,             0.99694,             0.33305,             0.33229,             0.27331,            0.031102,             0.22881,           0.0024762,            0.007723,            0.007723,            0.007723
                  48,             0.04309,             0.31407,           0.0018971,             0.99663,             0.33305,             0.33273,             0.27794,            0.030399,             0.23142,           0.0025002,           0.0076735,           0.0076735,           0.0076735
                  49,            0.042556,             0.30969,           0.0018111,             0.99575,               0.333,             0.33277,             0.27338,            0.033274,             0.23257,           0.0024457,            0.007624,            0.007624,            0.007624
                  50,            0.041198,             0.30626,           0.0017407,             0.99651,             0.33311,             0.33269,             0.27286,            0.032145,              0.2386,           0.0024274,           0.0075745,           0.0075745,           0.0075745
                  51,            0.042884,             0.30833,           0.0017459,             0.99656,             0.33311,             0.33243,             0.27281,            0.030775,              0.2323,           0.0024549,            0.007525,            0.007525,            0.007525
                  52,            0.041831,             0.30691,           0.0018145,             0.99665,             0.33317,             0.33283,             0.27626,            0.029669,             0.23893,           0.0023705,           0.0074755,           0.0074755,           0.0074755
                  53,            0.042294,             0.30876,           0.0016966,             0.99662,             0.33177,             0.33322,             0.26612,            0.031718,             0.23811,           0.0023801,            0.007426,            0.007426,            0.007426
                  54,            0.041877,              0.3049,           0.0017914,             0.99735,             0.33311,             0.33294,             0.27305,            0.029996,             0.23669,            0.002405,           0.0073765,           0.0073765,           0.0073765
                  55,            0.042471,             0.31462,           0.0017336,             0.99741,             0.33305,             0.33276,              0.2756,            0.030583,             0.23471,           0.0024068,            0.007327,            0.007327,            0.007327
                  56,            0.041609,              0.3076,           0.0017198,             0.99673,             0.33311,               0.333,             0.27137,            0.031403,             0.24195,           0.0023981,           0.0072775,           0.0072775,           0.0072775
                  57,            0.041726,             0.29946,           0.0017547,              0.9963,             0.33284,             0.33279,             0.26593,             0.03032,             0.23372,           0.0024163,            0.007228,            0.007228,            0.007228
                  58,            0.041162,             0.29945,            0.001787,             0.99724,             0.33311,             0.33274,             0.27699,            0.029647,             0.22496,            0.002525,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040977,             0.29645,           0.0016721,             0.99753,             0.33311,             0.33253,             0.27411,            0.030036,             0.23515,           0.0024489,            0.007129,            0.007129,            0.007129
                  60,            0.041605,             0.30961,            0.001687,             0.99665,             0.33311,             0.33266,             0.27554,            0.029789,             0.23029,           0.0023968,           0.0070795,           0.0070795,           0.0070795
                  61,            0.041282,             0.29963,            0.001701,             0.99718,             0.33305,             0.33265,             0.26398,            0.031982,             0.24263,           0.0023984,             0.00703,             0.00703,             0.00703
                  62,            0.040864,              0.2965,           0.0016993,             0.99542,             0.33317,             0.33303,             0.27388,            0.030165,             0.23228,           0.0022686,           0.0069805,           0.0069805,           0.0069805
                  63,            0.040417,             0.29497,            0.001726,             0.99763,             0.33311,              0.3326,             0.27908,             0.02955,             0.22281,           0.0022818,            0.006931,            0.006931,            0.006931
                  64,            0.041086,             0.29863,           0.0017537,             0.99761,             0.33311,             0.33247,             0.27784,            0.030435,             0.23038,           0.0023419,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041013,             0.29669,           0.0017732,              0.9952,             0.33311,             0.33259,             0.27966,            0.029588,             0.22818,           0.0023619,            0.006832,            0.006832,            0.006832
                  66,            0.040178,             0.29653,           0.0017401,             0.99761,             0.33307,             0.33292,             0.27943,            0.029385,             0.22237,           0.0022765,           0.0067825,           0.0067825,           0.0067825
                  67,            0.041249,             0.29218,           0.0017263,             0.99746,             0.33317,             0.33335,             0.27921,            0.029203,             0.22443,           0.0024383,            0.006733,            0.006733,            0.006733
                  68,            0.040427,             0.29137,           0.0016922,             0.99752,             0.33311,             0.33265,             0.27305,            0.031298,             0.23037,           0.0023596,           0.0066835,           0.0066835,           0.0066835
                  69,             0.03978,             0.28423,           0.0016695,             0.99738,             0.33328,             0.33336,             0.27369,            0.030403,             0.23867,           0.0023543,            0.006634,            0.006634,            0.006634
                  70,            0.040943,             0.29208,           0.0016864,             0.99751,             0.33321,             0.33348,             0.27638,            0.029471,             0.23832,           0.0023091,           0.0065845,           0.0065845,           0.0065845
                  71,             0.04042,             0.29044,           0.0016289,             0.99759,             0.33311,             0.33305,             0.27628,            0.030418,              0.2363,           0.0022953,            0.006535,            0.006535,            0.006535
                  72,            0.039159,             0.28699,           0.0016997,             0.99748,             0.33294,             0.33471,             0.27626,            0.029581,             0.23402,           0.0022838,           0.0064855,           0.0064855,           0.0064855
                  73,            0.039641,             0.29101,           0.0016404,             0.99745,             0.33308,             0.33634,             0.27261,            0.031277,             0.24847,           0.0022779,            0.006436,            0.006436,            0.006436
                  74,            0.039777,             0.28436,           0.0016216,              0.9975,             0.33317,              0.3551,             0.29545,             0.02982,             0.24048,           0.0023196,           0.0063865,           0.0063865,           0.0063865
                  75,            0.039877,             0.28005,           0.0016332,             0.99748,             0.33311,             0.33443,             0.27839,            0.029289,              0.2372,           0.0022977,            0.006337,            0.006337,            0.006337
                  76,            0.039263,             0.28478,            0.001569,             0.99756,             0.33305,             0.33729,             0.28151,            0.029132,               0.231,           0.0022975,           0.0062875,           0.0062875,           0.0062875
                  77,            0.038614,             0.28387,           0.0015554,             0.99721,             0.33317,             0.33613,             0.28064,            0.029162,             0.22894,           0.0023136,            0.006238,            0.006238,            0.006238
                  78,            0.040079,              0.2801,           0.0016666,             0.99685,             0.33317,             0.33448,             0.28021,            0.028922,             0.22734,           0.0023193,           0.0061885,           0.0061885,           0.0061885
                  79,            0.039062,             0.28608,           0.0015868,             0.99759,             0.33317,             0.33706,              0.2795,            0.029952,             0.23071,           0.0023805,            0.006139,            0.006139,            0.006139
                  80,            0.038961,             0.28156,            0.001681,             0.99754,             0.33311,             0.34582,             0.29064,            0.029215,             0.22562,           0.0022408,           0.0060895,           0.0060895,           0.0060895
                  81,            0.039089,             0.27286,             0.00169,             0.99742,             0.33317,             0.34452,             0.28995,            0.029104,             0.22442,           0.0023005,             0.00604,             0.00604,             0.00604
                  82,            0.038133,              0.2837,           0.0015581,             0.99712,             0.33324,              0.3571,             0.29691,            0.029629,             0.23495,           0.0022858,           0.0059905,           0.0059905,           0.0059905
                  83,            0.039137,             0.28249,           0.0016203,             0.99693,             0.33311,              0.3354,             0.28149,            0.028861,             0.22864,           0.0022602,            0.005941,            0.005941,            0.005941
                  84,            0.038684,             0.27898,           0.0015596,             0.99696,             0.33311,             0.35697,             0.29916,            0.028996,             0.22912,           0.0022865,           0.0058915,           0.0058915,           0.0058915
                  85,            0.038172,             0.27625,           0.0016122,             0.99695,             0.33322,             0.34295,             0.27943,            0.030293,             0.23331,           0.0022928,            0.005842,            0.005842,            0.005842
                  86,            0.038973,             0.27692,           0.0015919,             0.99551,             0.33283,             0.35683,             0.29759,            0.028828,             0.22474,           0.0022812,           0.0057925,           0.0057925,           0.0057925
                  87,            0.038615,             0.27752,           0.0015918,             0.99684,             0.33317,              0.3583,             0.30033,             0.02912,             0.23543,           0.0023283,            0.005743,            0.005743,            0.005743
                  88,              0.0391,             0.27688,           0.0016535,              0.9972,             0.33317,             0.35758,             0.30082,            0.028862,             0.23829,           0.0022844,           0.0056935,           0.0056935,           0.0056935
                  89,            0.038418,             0.27102,           0.0016322,             0.99763,             0.33317,              0.3568,             0.30022,            0.029587,             0.22636,           0.0022355,            0.005644,            0.005644,            0.005644
                  90,            0.039112,             0.27698,           0.0016174,             0.99773,             0.33312,              0.3406,             0.28566,             0.02921,              0.2272,            0.002293,           0.0055945,           0.0055945,           0.0055945
                  91,            0.038008,             0.26945,           0.0015786,              0.9976,             0.33317,             0.35944,             0.30786,            0.029088,             0.22677,           0.0023375,            0.005545,            0.005545,            0.005545
                  92,            0.037914,             0.27649,           0.0016089,             0.99753,             0.33317,             0.35935,             0.30708,            0.028326,             0.22484,           0.0023091,           0.0054955,           0.0054955,           0.0054955
                  93,            0.037933,              0.2755,            0.001559,             0.99688,             0.33317,             0.34414,             0.29256,            0.028852,             0.22163,           0.0022709,            0.005446,            0.005446,            0.005446
                  94,            0.039382,             0.26841,           0.0016044,             0.99742,             0.33317,             0.34234,             0.28713,             0.02959,             0.23223,           0.0022475,           0.0053965,           0.0053965,           0.0053965
                  95,            0.037637,              0.2675,           0.0015401,             0.99737,             0.33317,             0.35943,             0.30651,            0.028567,             0.22494,           0.0022141,            0.005347,            0.005347,            0.005347
                  96,            0.038142,             0.27089,           0.0014821,             0.99723,             0.33308,             0.33826,             0.28536,            0.028538,               0.224,           0.0021913,           0.0052975,           0.0052975,           0.0052975
                  97,            0.037731,             0.26678,           0.0015474,             0.99735,             0.33294,             0.35875,             0.30128,            0.028938,             0.23538,           0.0021711,            0.005248,            0.005248,            0.005248
                  98,             0.03838,             0.27653,           0.0015215,             0.99746,             0.33322,             0.36049,             0.30402,            0.028736,             0.22712,           0.0021615,           0.0051985,           0.0051985,           0.0051985
                  99,            0.038102,             0.26321,           0.0015395,             0.99748,             0.33294,              0.3646,             0.30614,            0.028899,             0.22961,           0.0021834,            0.005149,            0.005149,            0.005149
                 100,            0.037994,             0.26884,           0.0015545,             0.99724,             0.33328,             0.36616,             0.31173,            0.028481,             0.22668,           0.0021449,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038296,             0.26375,           0.0015484,             0.99723,             0.33321,             0.36396,             0.30631,            0.029133,             0.22533,           0.0021945,             0.00505,             0.00505,             0.00505
                 102,             0.03694,             0.26412,           0.0014935,             0.99733,             0.33328,             0.36917,             0.30663,            0.028842,             0.23687,           0.0021679,           0.0050005,           0.0050005,           0.0050005
                 103,            0.037231,             0.26431,           0.0015179,             0.99736,             0.33322,             0.36411,             0.30894,            0.028946,             0.23021,            0.002199,            0.004951,            0.004951,            0.004951
                 104,            0.037212,             0.26381,           0.0014889,             0.99761,             0.33303,             0.36613,             0.30553,            0.028455,                0.23,           0.0021495,           0.0049015,           0.0049015,           0.0049015
                 105,            0.037261,             0.26145,           0.0015657,             0.99758,               0.333,             0.37122,             0.31442,            0.028378,             0.22074,            0.002141,            0.004852,            0.004852,            0.004852
                 106,            0.037329,             0.26039,            0.001526,              0.9976,             0.33317,             0.36847,             0.31093,            0.028874,             0.23603,           0.0021699,           0.0048025,           0.0048025,           0.0048025
                 107,             0.03698,             0.25654,           0.0014753,             0.99712,             0.33317,             0.38845,             0.32476,            0.027859,             0.22401,           0.0020991,            0.004753,            0.004753,            0.004753
                 108,             0.03673,             0.26096,           0.0015106,             0.99754,             0.33311,             0.40047,             0.32809,            0.028431,              0.2341,           0.0020807,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03683,             0.25826,           0.0015303,             0.99763,             0.33317,             0.37955,             0.31987,            0.028428,             0.22753,            0.002111,            0.004654,            0.004654,            0.004654
                 110,            0.036758,             0.25856,           0.0014967,             0.99756,             0.33294,             0.35987,             0.30264,            0.028239,             0.21909,           0.0020745,           0.0046045,           0.0046045,           0.0046045
                 111,            0.036992,             0.25734,           0.0015142,              0.9972,             0.33311,             0.36161,             0.30164,            0.028743,             0.22685,           0.0021096,            0.004555,            0.004555,            0.004555
