                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54197,                0.26233,                0.85629,                0.99725,                0.92677,                0.96782,                0.73881,                0.65881,                0.25798,                0.87646,             0.00059383,             0.00059383,             0.00059383
                     37,                0.50538,                0.25555,                0.84466,                0.94098,                0.91111,                0.91502,                0.69219,                0.66059,                0.25894,                0.87203,              0.0005903,              0.0005903,              0.0005903
                     38,                0.51508,                0.25329,                0.84766,                0.98884,                0.93325,                0.96753,                0.72826,                0.62819,                0.25206,                 0.8635,             0.00058677,             0.00058677,             0.00058677
                     39,                0.51674,                0.25252,                 0.8464,                0.99151,                0.95183,                0.97741,                0.75428,                  0.627,                0.25392,                 0.8605,             0.00058323,             0.00058323,             0.00058323
                     40,                0.52018,                0.25288,                0.85332,                0.96055,                0.92053,                0.94825,                0.73155,                0.58587,                0.24941,                0.84195,              0.0005797,              0.0005797,              0.0005797
                     41,                0.52326,                0.25667,                0.84568,                0.96931,                0.97778,                0.98944,                0.75613,                 0.6638,                0.26633,                0.86916,             0.00057616,             0.00057616,             0.00057616
                     42,                0.49886,                0.25061,                0.83764,                0.98618,                0.95306,                0.98047,                0.73842,                0.70231,                0.27405,                0.88625,             0.00057263,             0.00057263,             0.00057263
                     43,                0.52285,                0.26215,                0.84513,                0.96485,                0.93274,                0.96057,                0.73977,                0.65066,                0.26113,                0.87161,             0.00056909,             0.00056909,             0.00056909
                     44,                0.50208,                0.25191,                0.84058,                0.76978,                0.99727,                0.77192,                0.61445,                0.61222,                0.26109,                0.85161,             0.00056556,             0.00056556,             0.00056556
                     45,                0.49023,                0.24495,                0.84655,                0.98932,                0.95165,                0.96214,                0.73093,                0.68254,                0.26857,                0.88483,             0.00056203,             0.00056203,             0.00056203
                     46,                0.49692,                0.25057,                0.84632,                0.91149,                0.93311,                0.92845,                0.72441,                0.63251,                0.25317,                0.86339,             0.00055849,             0.00055849,             0.00055849
                     47,                0.51655,                0.25473,                 0.8491,                0.98656,                0.97374,                  0.979,                0.76249,                0.59707,                0.24324,                0.84605,             0.00055496,             0.00055496,             0.00055496
                     48,                0.48397,                0.24552,                 0.8441,                0.92308,                0.95548,                 0.9431,                0.73806,                0.63313,                0.25516,                0.87121,             0.00055142,             0.00055142,             0.00055142
                     49,                 0.4841,                0.24396,                0.84187,                0.73714,                0.95138,                0.75859,                 0.5989,                0.60598,                0.25393,                 0.8565,             0.00054789,             0.00054789,             0.00054789
                     50,                0.47623,                0.23737,                0.84448,                0.76183,                0.95437,                0.76674,                0.59302,                0.62762,                0.25268,                0.86085,             0.00054435,             0.00054435,             0.00054435
                     51,                0.46384,                0.23625,                0.83848,                0.94887,                0.99748,                0.99227,                0.76096,                0.60609,                0.24162,                0.85377,             0.00054082,             0.00054082,             0.00054082
                     52,                0.48033,                 0.2367,                 0.8406,                0.99135,                0.91089,                0.94457,                0.70997,                0.66608,                0.25456,                0.87771,             0.00053728,             0.00053728,             0.00053728
                     53,                0.45941,                0.23262,                0.83846,                 0.9917,                0.93326,                0.98242,                0.75889,                 0.6061,                 0.2442,                0.85507,             0.00053375,             0.00053375,             0.00053375
                     54,                 0.4817,                0.24067,                0.84941,                0.98724,                0.97754,                 0.9769,                0.74463,                 0.6188,                 0.2386,                0.85538,             0.00053022,             0.00053022,             0.00053022
                     55,                0.47568,                 0.2387,                0.83906,                0.96365,                0.97763,                0.98943,                0.76145,                0.62877,                0.24715,                0.85767,             0.00052668,             0.00052668,             0.00052668
                     56,                 0.4661,                 0.2341,                0.83695,                0.90689,                 0.9304,                0.93857,                 0.7332,                0.64999,                0.24823,                0.87066,             0.00052315,             0.00052315,             0.00052315
                     57,                  0.463,                0.23184,                0.83572,                0.92042,                      1,                0.97768,                0.73835,                0.60625,                0.23946,                0.85547,             0.00051961,             0.00051961,             0.00051961
                     58,                0.42552,                 0.2213,                0.81923,                0.97605,                0.97763,                0.98593,                0.76471,                0.61691,                0.23995,                 0.8613,             0.00051608,             0.00051608,             0.00051608
                     59,                0.44744,                0.22263,                0.83424,                0.98032,                0.99728,                0.99454,                0.74878,                0.63056,                 0.2458,                 0.8655,             0.00051254,             0.00051254,             0.00051254
                     60,                0.43797,                0.22249,                0.83123,                0.99572,                0.95112,                0.97204,                0.74705,                 0.6258,                0.24272,                0.86143,             0.00050901,             0.00050901,             0.00050901
